Country,Rank,External Debt
Montserrat,1,1040000
Wallis And Futuna,2,3670000
Anguilla,3,8800000
Kiribati,4,1360000
British Virgin Islands,5,17670000
Nauru,6,33300000
Greenland,7,36400000
Cayman Islands,8,79000000
Federated States Of Micronesia,9,93600000
Marshall Islands,10,97960000
New Caledonia,11,112000000
Comoros,12,133300000
Saint Kitts and Nevis,13,187500000
Vanuatu,14,208100000
Tonga,15,233100000
Sao Tome and Principe,16,236500000
Cook Islands,17,281200000
Dominica,18,288600000
Timor-Leste,19,311500000
Saint Vincent and the Grenadines,20,321100000
San Marino,21,352000000
Antigua and Barbuda,22,441200000
Samoa,23,447200000
Swaziland,24,470500000
Solomon Island,25,491500000
